"代號","名稱","成交","漲跌價","漲跌幅","股利發放年度","除息交易日","現金股利","除息前價格","除息參考價","除息至今漲跌價","除息至今漲跌幅","填息貼息(元)","填息花費日數","除權交易日","股票股利","除權前價格","除權參考價","除權至今漲跌價","除權至今漲跌幅","填權貼權(元)","填權花費日數"
="3653","健策","656","+7","+1.08","2019","19'07/31","3.53","129.5","126","+530","+421","+526.5","1","","0","","","","","",""
="3661","世芯-KY","1880","+40","+2.17","2019","19'08/22","1.53","118","116.5","+1763.5","+1514","+1762","1","","0","","","","","",""
="3665","貿聯-KY","316","-1.5","-0.47","2019","19'08/02","7.5","248","240.5","+75.5","+31.4","+68","261","","0","","","","","",""
="3669","圓展","38.75","-0.95","-2.39","2019","19'06/28","0.4","16.6","16.2","+22.55","+139","+22.15","3","","0","","","","","",""
="3673","TPK-KY","42.05","-0.05","-0.12","2019","","0","","","","","","","","0","","","","","",""
="3679","新至陞","82","-0.3","-0.36","2019","19'07/16","3","48.9","45.9","+36.1","+78.6","+33.1","37","","0","","","","","",""
="3682","亞太電","6.27","-0.06","-0.95","2019","","0","","","","","","","","0","","","","","",""
="3686","達能","14.85","0","0","2019","","0","","","","","","","","0","","","","","",""
="3694","海華","32.65","-0.25","-0.76","2019","","0","","","","","","","","0","","","","","",""
="3701","大眾控","66.1","-0.4","-0.6","2019","","0","","","","","","","","0","","","","","",""
="3702","大聯大","58","+0.7","+1.22","2019","19'08/20","2.7","40.2","37.5","+20.5","+54.7","+17.8","58","","0","","","","","",""
"3702A","大聯大甲特","48.45","0","0","","","","","","","","","","","","","","","","",""
="3703","欣陸","27.15","0","0","2019","19'08/01","0.9","17.4","16.5","+10.65","+64.5","+9.75","255","","0","","","","","",""
="3704","合勤控","55","-0.7","-1.26","2019","","0","","","","","","","","0","","","","","",""
="3705","永信","42.9","-0.05","-0.12","2019","19'07/11","2.2","44.25","42.05","+0.85","+2.02","-1.35","133","","0","","","","","",""
="3706","神達","39.3","+3.55","+9.93","2019","19'08/28","1.5","31.55","26.15","+13.15","+50.3","+7.75","113","19'08/28","1.5","31.55","26.15","+13.15","+50.3","+7.75","113"
="3708","上緯投控","89.6","-1.1","-1.21","2019","19'07/09","5","84.8","79.8","+9.8","+12.3","+4.8","33","","0","","","","","",""
